node,graph_name,node_type,place_id,label,category,rating,total_user_ratings
place::ChIJl0XA89yNBjsRqIaoj43e2y0,user_place_bipartite,place,ChIJl0XA89yNBjsRqIaoj43e2y0,"Thalayanai thirutha parai falls, தலையணை திருத்தப்பாறை அருவி",tourist_attraction,4.7,40.0
place::ChIJgUzFlGGHBjsRhNQqli9BmKo,user_place_bipartite,place,ChIJgUzFlGGHBjsRhNQqli9BmKo,Mekkarai paddy field View Point,tourist_attraction,4.6,40.0
place::ChIJdxLncnIpBDsRVTR-LGvw5IE,user_place_bipartite,place,ChIJdxLncnIpBDsRVTR-LGvw5IE,Courtallam Tenkasi Road Taj Mahal taxi parking,tourist_attraction,4.5,39.0
place::ChIJdXZuOVN1BDsRo4MXhjggCPw,user_place_bipartite,place,ChIJdXZuOVN1BDsRo4MXhjggCPw,Tamirabarani River dam falls,tourist_attraction,4.6,38.0
place::ChIJl59G2XAvBDsRItkS__oPRJw,user_place_bipartite,place,ChIJl59G2XAvBDsRItkS__oPRJw,Yanai parai,tourist_attraction,4.1,34.0
place::ChIJnxEU5r8pBDsRUriXx2MH-XI,user_place_bipartite,place,ChIJnxEU5r8pBDsRUriXx2MH-XI,Arulmigu ooikaattu sudalai swamy kovil,hindu_temple,4.7,33.0
place::ChIJjfO2v0cjBDsRsKc-LKoWRkQ,user_place_bipartite,place,ChIJjfO2v0cjBDsRsKc-LKoWRkQ,Shri Sorimuthu Ayyanar Temple,hindu_temple,4.6,33.0
place::ChIJ681py5edBjsRbgFCDabz7qc,user_place_bipartite,place,ChIJ681py5edBjsRbgFCDabz7qc,Sunfield sambavar vadakarai,tourist_attraction,4.5,31.0
place::ChIJHbVehgk7BDsR90fxH8NyjdI,user_place_bipartite,place,ChIJHbVehgk7BDsR90fxH8NyjdI,"Vagaikulam Bird Sanctuary - Tenkasi, Tamilnadu",point_of_interest,4.5,30.0
place::ChIJNd6V4hQpBDsRdin5ED4v_gk,user_place_bipartite,place,ChIJNd6V4hQpBDsRdin5ED4v_gk,Falls,tourist_attraction,4.4,30.0
place::ChIJa2HAxYaBBjsRLEYXjUoKnoo,user_place_bipartite,place,ChIJa2HAxYaBBjsRLEYXjUoKnoo,PUDUR NEERTHEKAM,tourist_attraction,4.3,28.0
place::ChIJGbc6sSKdBjsRmvw5EigekSo,user_place_bipartite,place,ChIJGbc6sSKdBjsRmvw5EigekSo,Surandai Sri Pathirakaliamman Temple,hindu_temple,4.9,27.0
place::ChIJcfvrXkC5BjsRu3pY0p9dUgA,user_place_bipartite,place,ChIJcfvrXkC5BjsRu3pY0p9dUgA,Thiruvengadanathar Temple,hindu_temple,4.6,27.0
place::ChIJPYrLA3ydBjsR76Lqd0JtI1g,user_place_bipartite,place,ChIJPYrLA3ydBjsR76Lqd0JtI1g,Sri poddal Madasamy Kovil Temple,hindu_temple,4.6,27.0
place::ChIJ-a4Fh485BDsReE8HkiZ5qBg,user_place_bipartite,place,ChIJ-a4Fh485BDsReE8HkiZ5qBg,Manimuthar Dam Shutter,tourist_attraction,4.2,26.0
place::ChIJ1Wp9B0cjBDsRzwzPf4lYZYw,user_place_bipartite,place,ChIJ1Wp9B0cjBDsRzwzPf4lYZYw,ISCA INDRA GARDEN,garden,4.7,25.0
place::ChIJIdet46mHBjsR3PbLSmjxSUM,user_place_bipartite,place,ChIJIdet46mHBjsR3PbLSmjxSUM,Kadayanallur Stone River,national_park,4.6,24.0
place::ChIJWRNsgJU3BDsRSULsvBpnuQs,user_place_bipartite,place,ChIJWRNsgJU3BDsRSULsvBpnuQs,Thalaiyanai Bathing spot,tourist_attraction,4.5,24.0
place::ChIJQ96D1M8rBDsRqt6w84FGNmw,user_place_bipartite,place,ChIJQ96D1M8rBDsRqt6w84FGNmw,Gundar Public Falls,tourist_attraction,4.3,24.0
place::ChIJiXq8FNyDBjsR9EQydtqPwPU,user_place_bipartite,place,ChIJiXq8FNyDBjsR9EQydtqPwPU,Tenkasi - Kadayanallur Roundana,historical_landmark,4.8,21.0
place::ChIJI2hEcrL9BDsR5bM1IMY333I,user_place_bipartite,place,ChIJI2hEcrL9BDsR5bM1IMY333I,Big Rock,hiking_area,4.7,21.0
place::ChIJ4Uo7n3mdBjsRqe7VZR4A1po,user_place_bipartite,place,ChIJ4Uo7n3mdBjsRqe7VZR4A1po,ARULMIGU THIRUMALAIYANDAVAR KOVIL,hindu_temple,4.4,21.0
place::ChIJHfKoNpbtBjsRbySESoZ8Eqc,user_place_bipartite,place,ChIJHfKoNpbtBjsRbySESoZ8Eqc,Rock view point,tourist_attraction,4.2,21.0
place::ChIJUVFdlWidBjsR4jH_7xKQb4g,user_place_bipartite,place,ChIJUVFdlWidBjsR4jH_7xKQb4g,ஸ்ரீ வெற்றி பத்திரகாளி அம்மன் கோவில் & ஸ்ரீ வெற்றிவேல் ஐயனார் கோவில்,hindu_temple,4.8,20.0
place::ChIJSTeBrTmdBjsR7mRML4o9kNQ,user_place_bipartite,place,ChIJSTeBrTmdBjsR7mRML4o9kNQ,Tr. Agastheeswarar Temple Cave,hindu_temple,4.4,20.0
place::ChIJLadwo8YpBDsRT3xwA0_FTbw,user_place_bipartite,place,ChIJLadwo8YpBDsRT3xwA0_FTbw,Kulasekaranathar Temple,hindu_temple,4.7,19.0
place::ChIJn6PVEciBBjsRUaH9qRKGb0A,user_place_bipartite,place,ChIJn6PVEciBBjsRUaH9qRKGb0A,Ariharanathi falls,tourist_attraction,4.4,19.0
place::ChIJebL0AYyHBjsRTxHUtm8V2z8,user_place_bipartite,place,ChIJebL0AYyHBjsRTxHUtm8V2z8,Private Falls,tourist_attraction,4.3,19.0
place::ChIJERqhq22FBjsRaJiYVNaOPj0,user_place_bipartite,place,ChIJERqhq22FBjsRaJiYVNaOPj0,Kadayanallur Periya Aaru,tourist_attraction,4.1,19.0
place::ChIJcdBTWrKFBjsRfnEQkscgshs,user_place_bipartite,place,ChIJcdBTWrKFBjsRfnEQkscgshs,கடையநல்லூர் கல்லாறு,tourist_attraction,4.3,16.0
place::ChIJdz0NeZwpBDsRe-5ddjICWXg,user_place_bipartite,place,ChIJdz0NeZwpBDsRe-5ddjICWXg,Funland natural falls no cost,park,4.5,15.0
place::ChIJW6hgB1-DBjsRtONaTppN-qM,user_place_bipartite,place,ChIJW6hgB1-DBjsRtONaTppN-qM,achanputhurseemai,tourist_attraction,4.4,15.0
place::ChIJq6raASnWBTsRg6MRD__traA,user_place_bipartite,place,ChIJq6raASnWBTsRg6MRD__traA,Thenmala Dam Entrance,tourist_attraction,4.2,15.0
place::ChIJzToWHj8pBDsRNvVdi62xu1g,user_place_bipartite,place,ChIJzToWHj8pBDsRNvVdi62xu1g,"Anniyan parai lake, puliyur",tourist_attraction,4.3,14.0
place::ChIJCTzZZiEnBDsRSCbKYYHWVvA,user_place_bipartite,place,ChIJCTzZZiEnBDsRSCbKYYHWVvA,Arulmigu Uchinimahali Amman temple v k pudur,hindu_temple,4.3,13.0
place::ChIJWfsnAAArBDsRyb5q2KR_aoU,user_place_bipartite,place,ChIJWfsnAAArBDsRyb5q2KR_aoU,Gundaru dam Boating,park,4.9,11.0
