:START_ID(User),:END_ID(User),weight,:TYPE
arunprasath_m,kathiravan_piramuthu,1.0,SIMILAR_USER
arunprasath_m,sakthi_prabhu,1.0,SIMILAR_USER
dr__ramamoorthy_ramu,kathiravan_piramuthu,1.0,SIMILAR_USER
dr__ramamoorthy_ramu,sakthi_prabhu,1.0,SIMILAR_USER
kathiravan_piramuthu,sakthi_prabhu,1.0,SIMILAR_USER
anfas_salim,anoop_kamal,1.0,SIMILAR_USER
anfas_salim,dark_wizard,1.0,SIMILAR_USER
anfas_salim,sree_kumar_a,1.0,SIMILAR_USER
anoop_kamal,dark_wizard,1.0,SIMILAR_USER
anoop_kamal,sree_kumar_a,1.0,SIMILAR_USER
dark_wizard,sree_kumar_a,1.0,SIMILAR_USER
adv__a_v_avijith,anilkumar_mk,1.0,SIMILAR_USER
adv__a_v_avijith,arjuka,1.0,SIMILAR_USER
adv__a_v_avijith,shibin_s_s,1.0,SIMILAR_USER
adv__a_v_avijith,shibu_shibs,1.0,SIMILAR_USER
anilkumar_mk,arjuka,1.0,SIMILAR_USER
anilkumar_mk,shibin_s_s,1.0,SIMILAR_USER
anilkumar_mk,shibu_shibs,1.0,SIMILAR_USER
arjuka,shibin_s_s,1.0,SIMILAR_USER
arjuka,shibu_shibs,1.0,SIMILAR_USER
arjuka,gauthaman_ar,1.0,SIMILAR_USER
arjuka,sailesh_babu,1.0,SIMILAR_USER
arjuka,shriram,1.0,SIMILAR_USER
arjuka,srividhya_rajesh,1.0,SIMILAR_USER
arjuka,b1no,1.0,SIMILAR_USER
arjuka,poulose_ke,1.0,SIMILAR_USER
arjuka,shameer_m_basheer,1.0,SIMILAR_USER
arjuka,شيخ_صفا_سابينا,1.0,SIMILAR_USER
shibin_s_s,shibu_shibs,1.0,SIMILAR_USER
abdul_ajeeze,kasi_rajan,1.0,SIMILAR_USER
abdul_ajeeze,maragatham_j,1.0,SIMILAR_USER
abdul_ajeeze,saravanan_v,1.0,SIMILAR_USER
abdul_ajeeze,world_of_mathematics,1.0,SIMILAR_USER
kasi_rajan,maragatham_j,1.0,SIMILAR_USER
kasi_rajan,saravanan_v,1.0,SIMILAR_USER
kasi_rajan,world_of_mathematics,1.0,SIMILAR_USER
maragatham_j,saravanan_v,1.0,SIMILAR_USER
maragatham_j,world_of_mathematics,1.0,SIMILAR_USER
saravanan_v,world_of_mathematics,1.0,SIMILAR_USER
aswin_maxwrist,beryl_rose,1.0,SIMILAR_USER
aswin_maxwrist,govind_k,1.0,SIMILAR_USER
aswin_maxwrist,nithish_narayanan,1.0,SIMILAR_USER
aswin_maxwrist,sivashankar_r,1.0,SIMILAR_USER
beryl_rose,govind_k,1.0,SIMILAR_USER
beryl_rose,nithish_narayanan,1.0,SIMILAR_USER
beryl_rose,sivashankar_r,1.0,SIMILAR_USER
govind_k,nithish_narayanan,1.0,SIMILAR_USER
govind_k,sivashankar_r,1.0,SIMILAR_USER
nithish_narayanan,sivashankar_r,1.0,SIMILAR_USER
sivashankar_r,j_johnson,1.0,SIMILAR_USER
sivashankar_r,raja_rs,1.0,SIMILAR_USER
sivashankar_r,rengaraj_rengasamy,1.0,SIMILAR_USER
sivashankar_r,vijay_m,1.0,SIMILAR_USER
david_viniston,divya_krishnan,1.0,SIMILAR_USER
david_viniston,prakash_kumar,1.0,SIMILAR_USER
david_viniston,ramesh_sundarrajan,1.0,SIMILAR_USER
david_viniston,senthil_kumar,1.0,SIMILAR_USER
divya_krishnan,prakash_kumar,1.0,SIMILAR_USER
divya_krishnan,ramesh_sundarrajan,1.0,SIMILAR_USER
divya_krishnan,senthil_kumar,1.0,SIMILAR_USER
prakash_kumar,ramesh_sundarrajan,1.0,SIMILAR_USER
prakash_kumar,senthil_kumar,1.0,SIMILAR_USER
ramesh_sundarrajan,senthil_kumar,1.0,SIMILAR_USER
senthil_kumar,ayya_thurai,1.0,SIMILAR_USER
senthil_kumar,dùráī_màddy,1.0,SIMILAR_USER
senthil_kumar,krishnakumar_r,1.0,SIMILAR_USER
senthil_kumar,skf_tech_gurus,1.0,SIMILAR_USER
kumaresan_lakshmanan,shyam_sundar,1.0,SIMILAR_USER
kumaresan_lakshmanan,yuva_ranjitha,1.0,SIMILAR_USER
kumaresan_lakshmanan,anandtvl,1.0,SIMILAR_USER
kumaresan_lakshmanan,antony_stephen,1.0,SIMILAR_USER
kumaresan_lakshmanan,ramakumar_ulaganathan,1.0,SIMILAR_USER
kumaresan_lakshmanan,vinoth_raja_k,1.0,SIMILAR_USER
shyam_sundar,yuva_ranjitha,1.0,SIMILAR_USER
dinesh_e,selva_selva,1.0,SIMILAR_USER
dinesh_e,writer_and_traveller,1.0,SIMILAR_USER
dinesh_e,ச_ர_ந_தர__க_ம_ர,1.0,SIMILAR_USER
selva_selva,writer_and_traveller,1.0,SIMILAR_USER
selva_selva,ச_ர_ந_தர__க_ம_ர,1.0,SIMILAR_USER
selva_selva,abdul_rasith,1.0,SIMILAR_USER
selva_selva,husain_abu_hunaid,1.0,SIMILAR_USER
selva_selva,malik_m,1.0,SIMILAR_USER
selva_selva,mohammed_saleem,1.0,SIMILAR_USER
writer_and_traveller,ச_ர_ந_தர__க_ம_ர,1.0,SIMILAR_USER
adarsh_a,adarsh_p_deep,1.0,SIMILAR_USER
adarsh_a,cradby_cruizer,1.0,SIMILAR_USER
adarsh_a,josh_11,1.0,SIMILAR_USER
adarsh_a,sreenath,1.0,SIMILAR_USER
adarsh_p_deep,cradby_cruizer,1.0,SIMILAR_USER
adarsh_p_deep,josh_11,1.0,SIMILAR_USER
adarsh_p_deep,sreenath,1.0,SIMILAR_USER
cradby_cruizer,josh_11,1.0,SIMILAR_USER
cradby_cruizer,sreenath,1.0,SIMILAR_USER
josh_11,sreenath,1.0,SIMILAR_USER
abhishek_vijayan,bharani_t,1.0,SIMILAR_USER
abhishek_vijayan,karthick,1.0,SIMILAR_USER
abhishek_vijayan,prakash_ntk,1.0,SIMILAR_USER
abhishek_vijayan,praveen_kumar_raja,1.0,SIMILAR_USER
bharani_t,karthick,1.0,SIMILAR_USER
bharani_t,prakash_ntk,1.0,SIMILAR_USER
bharani_t,praveen_kumar_raja,1.0,SIMILAR_USER
karthick,prakash_ntk,1.0,SIMILAR_USER
karthick,praveen_kumar_raja,1.0,SIMILAR_USER
karthick,balaram_das,1.0,SIMILAR_USER
karthick,infant_uva,1.0,SIMILAR_USER
karthick,vignesh_kumar,1.0,SIMILAR_USER
karthick,vishwalingam_m_s,1.0,SIMILAR_USER
prakash_ntk,praveen_kumar_raja,1.0,SIMILAR_USER
deepak_s,mohammad_muneeb,1.0,SIMILAR_USER
deepak_s,nidhin_kumar,1.0,SIMILAR_USER
deepak_s,sajin_murali,1.0,SIMILAR_USER
deepak_s,vishnupriya_v,1.0,SIMILAR_USER
mohammad_muneeb,nidhin_kumar,1.0,SIMILAR_USER
mohammad_muneeb,sajin_murali,1.0,SIMILAR_USER
mohammad_muneeb,vishnupriya_v,1.0,SIMILAR_USER
nidhin_kumar,sajin_murali,1.0,SIMILAR_USER
nidhin_kumar,vishnupriya_v,1.0,SIMILAR_USER
sajin_murali,vishnupriya_v,1.0,SIMILAR_USER
george_arunsowriraj,mohammed_saabiq,1.0,SIMILAR_USER
george_arunsowriraj,sathya_sachinism,1.0,SIMILAR_USER
george_arunsowriraj,velayutham_raja,1.0,SIMILAR_USER
mohammed_saabiq,sathya_sachinism,1.0,SIMILAR_USER
mohammed_saabiq,velayutham_raja,1.0,SIMILAR_USER
sathya_sachinism,velayutham_raja,1.0,SIMILAR_USER
azhar_muhammed,insane_alastor,1.0,SIMILAR_USER
azhar_muhammed,manjunatha_balakrishna,1.0,SIMILAR_USER
azhar_muhammed,vigneshwaran_santharam,1.0,SIMILAR_USER
azhar_muhammed,vishnu_kala,1.0,SIMILAR_USER
insane_alastor,manjunatha_balakrishna,1.0,SIMILAR_USER
insane_alastor,vigneshwaran_santharam,1.0,SIMILAR_USER
insane_alastor,vishnu_kala,1.0,SIMILAR_USER
manjunatha_balakrishna,vigneshwaran_santharam,1.0,SIMILAR_USER
manjunatha_balakrishna,vishnu_kala,1.0,SIMILAR_USER
vigneshwaran_santharam,vishnu_kala,1.0,SIMILAR_USER
balaji_gunasekaran,raja,1.0,SIMILAR_USER
balaji_gunasekaran,selvin_navaraj,1.0,SIMILAR_USER
balaji_gunasekaran,subash,1.0,SIMILAR_USER
balaji_gunasekaran,venkatraman_srinivasan,1.0,SIMILAR_USER
raja,selvin_navaraj,1.0,SIMILAR_USER
raja,subash,1.0,SIMILAR_USER
raja,venkatraman_srinivasan,1.0,SIMILAR_USER
selvin_navaraj,subash,1.0,SIMILAR_USER
selvin_navaraj,venkatraman_srinivasan,1.0,SIMILAR_USER
subash,venkatraman_srinivasan,1.0,SIMILAR_USER
subash,piramanayagam_chellappa,1.0,SIMILAR_USER
subash,rishwanth_karthikeyan,1.0,SIMILAR_USER
